location1,location2,rssi1,rssi2,rssi3,rssi4,rssi5,rssi6,rssi7,rssi8
c01,4,205.2, 185.4, 183.4, 203.2, 198.6, 201.6, 192.2, 197.0
c01,4,200.2, 186.4, 190.6, 197.8, 199.6, 202.0, 196.6, 193.6
c01,4,201.4, 191.2, 190.6, 193.0, 201.4, 200.8, 205.0, 211.0
c01,4,196.0, 183.4, 179.8, 191.8, 190.6, 196.6, 190.0, 189.4
c01,4,197.2, 185.8, 184.0, 201.4, 196.0, 193.0, 194.2, 196.0
c01,4,200.8, 187.6, 184.6, 196.0, 190.6, 198.4, 191.8, 196.0
c01,4,196.0, 180.0, 185.0, 186.4, 188.2, 191.8, 194.8, 196.0
c01,4,201.4, 192.4, 196.6, 203.2, 195.4, 196.6, 200.2, 199.0
c01,4,198.4, 183.0, 189.4, 190.0, 198.4, 198.4, 198.4, 190.0
c01,4,201.4, 190.0, 184.0, 195.4, 196.0, 196.0, 194.2, 197.2
c01,4,205.6, 192.4, 188.8, 196.0, 204.4, 198.4, 193.6, 198.4
c01,4,202.0, 184.0, 186.4, 190.6, 192.4, 194.2, 196.6, 201.4
c01,4,208.0, 185.8, 191.2, 197.2, 196.0, 205.4, 199.6, 197.2
d01,4,191.4, 192.8, 185.8, 192.6, 195.4, 195.6, 195.6, 215.4
d01,4,202.6, 196.0, 193.0, 201.4, 193.6, 198.4, 192.4, 207.4
d01,4,199.0, 188.8, 194.0, 196.0, 195.4, 195.4, 193.0, 199.0
d01,4,193.0, 182.8, 186.25, 191.8, 201.4, 198.4, 193.6, 201.4
d01,4,193.6, 187.6, 182.5, 190.6, 197.2, 199.0, 185.2, 211.2
d01,4,202.2, 194.0, 194.2, 198.0, 198.4, 195.2, 205.2, 209.2
d01,4,200.8, 193.0, 200.5, 197.8, 193.0, 202.0, 199.6, 196.6
d01,4,195.8, 184.0, 194.2, 195.0, 194.4, 197.2, 197.6, 208.4
d01,4,200.8, 194.2, 193.0, 196.0, 195.4, 201.4, 198.4, 209.2
d01,4,191.8, 182.5, 184.75, 190.0, 193.6, 194.8, 193.0, 197.8
d01,4,199.0, 194.8, 186.4, 191.8, 203.2, 201.4, 198.4, 200.8
d01,4,202.0, 195.4, 199.0, 202.6, 201.6, 196.6, 194.8, 196.6
d01,4,199.0, 181.0, 190.0, 193.0, 193.0, 188.2, 193.0, 200.2
c1,4,191.8, 183.0, 187.0, 195.25, 200.8, 202.6, 190.6, 198.4
d0,4,185.8, 187.0, 196.0, 190.0, 194.2, 191.2, 190.0, 214.8